"case","metric","value"
"n14","welch.p",0.100013471999815
"n14","m_hat",0.444763873508706
"n14","mood.approx.a",5
"n14","mood.approx.b",8
"n14","mood.approx.p",0.41364921254543
"n14","mood.exact.p",0.41364921254543
"n14","method",1
"n15","median1",NA
"n15","median2",5.13420163762145
"n15","q1_1",NA
"n15","q3_1",NA
"n15","q1_2",4.57724513698773
"n15","q3_2",5.70111885077911
"n15","sw1.w",NA
"n15","sw1.p",NA
"n15","sw2.w",0.963939218613082
"n15","sw2.p",0.625163936442988
"n15","welch.t",NA
"n15","welch.df",NA
"n15","welch.p",NA
"n15","m_hat",NA
"n15","mood.approx.a",NA
"n15","mood.approx.b",NA
"n15","mood.approx.p",NA
"n15","mood.exact.p",NA
"n15","method",NA
"n16","median1",-0.120830354996064
"n16","median2",1.5432342271345
"n16","q1_1",-0.787433373722583
"n16","q3_1",0.774988858496794
"n16","q1_2",0.645429209110816
"n16","q3_2",4.60018327587651
"n16","sw1.w",0.992876918117361
"n16","sw1.p",0.83861904399868
"n16","sw2.w",0.909621765347972
"n16","sw2.p",0.416818996906818
"n16","welch.t",-1.15284740233725
"n16","welch.df",2.56052176953266
"n16","welch.p",0.34517239031098
"n16","m_hat",0.350420037971789
"n16","mood.approx.a",1
"n16","mood.approx.b",2
"n16","mood.approx.p",1
"n16","mood.exact.p",1
"n16","method",1
"n17","median1",0.585702035378304
"n17","median2",0.971482801404252
"n17","q1_1",0.272964144039055
"n17","q3_1",1.14979153201294
"n17","q1_2",0.397281565551223
"n17","q3_2",1.83955802359582
"n17","sw1.w",0.894241553335333
"n17","sw1.p",0.00175997857887503
"n17","sw2.w",0.891122683027375
"n17","sw2.p",0.00144487116863901
"n17","welch.t",-2.35896761869243
"n17","welch.df",70.5032057274652
"n17","welch.p",0.0211010923800692
"n17","m_hat",0.731561455164891
"n17","mood.approx.a",17
"n17","mood.approx.b",20
"n17","mood.approx.p",0.646562448930008
"n17","mood.exact.p",0.491593676537782
"n17","method",2
"n18","median1",3
"n18","median2",6
"n18","q1_1",2
"n18","q3_1",5
"n18","q1_2",4.75
"n18","q3_2",7
"n18","sw1.w",0.937229640573557
"n18","sw1.p",0.00407949585394456
"n18","sw2.w",0.954575258550806
"n18","sw2.p",0.0256904459920756
"n18","welch.t",-5.74701718736908
"n18","welch.df",117.264844085044
